,neighborhood,latitude,longitude,size_in_sqft,price_per_sqft,no_of_bedrooms,no_of_bathrooms,quality
949,Downtown Dubai,25.201842000000003,55.280473,1162,1196.21,2,3,2
950,Dubai Marina,25.087042,55.148385,1900,868.42,3,4,2
951,Jumeirah Beach Residence,25.07662,55.135006,3090,938.51,3,5,2
952,Dubai Marina,25.086726,55.145205,1376,1159.16,2,3,1
953,Downtown Dubai,25.19719,55.269696,940,1170.21,1,2,1
954,Dubai Hills Estate,25.109367,55.247980000000005,989,910.01,1,2,2
955,Dubai Silicon Oasis,25.117158,55.389588,644,504.66,0,1,2
956,Al Kifaf,25.233787,55.294217,1616,1051.98,2,2,2
957,Dubai Sports City,25.039066,55.220696999999994,1137,510.11,1,2,2
958,Palm Jumeirah,25.105166,55.148162,1800,1916.67,2,3,1
959,Jumeirah Lake Towers,25.079501,55.151503000000005,1966,864.7,2,2,2
960,Dubai Creek Harbour (The Lagoons),25.20863,55.345967,1441,1287.3,3,3,2
961,Downtown Dubai,25.191404,55.27389599999999,838,1193.32,1,1,2
962,Jumeirah,25.240419,55.25277,3425,1890.22,4,5,1
963,Palm Jumeirah,25.112193,55.138635,712,1778.09,1,2,2
964,Dubai Marina,25.089833,55.150625,2800,714.28,3,4,2
965,Town Square,25.010196,55.291467,1064,610.9,2,2,2
966,Greens,25.09516,55.171259,1441,763.36,2,2,1
967,Downtown Dubai,25.198796,55.271342,1336,1366.02,2,3,2
968,Dubai Land,25.111535,55.365680000000005,1806,415.28,3,3,3
969,Mohammed Bin Rashid City,25.171460999999997,55.2758,1215,1604.94,2,3,3
970,Downtown Dubai,25.196489,55.272126,5383,3458.09,4,6,2
971,Downtown Dubai,25.191642,55.28019499999999,1078,1914.55,2,2,1
972,Downtown Dubai,25.191642,55.28019499999999,1077,1913.55,2,2,1
973,Downtown Dubai,25.191642,55.28019499999999,1016,1896.54,2,2,1
974,Downtown Dubai,25.191642,55.28019499999999,1047,1891.01,2,2,1
975,Downtown Dubai,25.191642,55.28019499999999,1016,2047.13,2,2,1
976,Dubai Marina,25.075284,55.134432,891,1459.03,1,2,2
977,Mohammed Bin Rashid City,25.145146,55.285212,421,950.0,0,1,2
978,Dubai Creek Harbour (The Lagoons),25.201227,55.34911,978,1273.91,2,2,2
979,Jumeirah Beach Residence,25.079895,55.134126,1401,1817.99,2,3,2
980,Dubai Marina,25.074167000000003,55.137779,1334,1049.48,2,2,3
981,Jumeirah Village Circle,25.046296,55.200782999999994,450,920.0,0,1,3
982,Jumeirah Village Circle,25.046296,55.200782999999994,1350,692.59,2,3,3
983,Jumeirah Village Circle,25.056225,55.20458000000001,1500,857.33,3,4,3
984,Jumeirah Village Circle,25.056225,55.20458000000001,1100,854.55,2,3,3
985,Jumeirah Village Circle,25.051513,55.207733,1600,873.75,3,4,3
986,Jumeirah Village Circle,25.051513,55.207733,750,833.33,1,2,3
987,Business Bay,25.188065,55.283141,410,1656.1,1,1,2
988,Bluewaters,25.079276,55.12067,1512,1937.83,2,3,1
989,Palm Jumeirah,25.10355,55.168509,7346,4764.5,4,5,1
990,Jumeirah Lake Towers,25.080143,55.152381000000005,532,798.87,0,1,1
991,Jumeirah Village Circle,25.04866,55.20955,800,775.0,1,2,3
992,Jumeirah Village Circle,25.04866,55.20955,1600,734.38,3,4,3
993,Jumeirah Village Circle,25.04866,55.20955,900,843.33,2,3,3
994,Palm Jumeirah,25.111943,55.144174,2055,1257.91,2,1,2
995,Dubai Hills Estate,25.107984,55.244923,1264,1048.26,2,2,2
996,Dubai Silicon Oasis,25.119491,55.39684499999999,936,544.87,2,3,1
997,Jumeirah Village Circle,25.060106,55.209391,1203,1014.13,2,3,2
998,Motor City,25.046706,55.246714,1442,589.46,2,2,1
999,The Hills,25.078353,55.158801,828,1509.66,1,2,1
1000,Downtown Dubai,25.198316,55.270757999999994,1841,1629.55,3,5,2
1001,Downtown Dubai,25.190267,55.273056,717,1938.63,1,1,2
1002,Dubai Marina,25.075017000000003,55.137997,1788,1230.43,3,4,1
1003,Jumeirah Village Circle,25.046383,55.200762,727,902.34,1,2,1
1004,Dubai Marina,25.087251,55.145574,1746,1712.49,3,4,2
1005,Motor City,25.045763,55.242224,1880,531.91,2,2,1
1006,Jumeirah Village Circle,25.046296,55.200697,423,1047.28,0,1,1
1007,Dubai Creek Harbour (The Lagoons),25.207227,55.344741000000006,1480,1756.76,3,4,3
1008,Jumeirah Beach Residence,25.082647,55.135003000000005,766,2754.57,1,2,2
1009,Jumeirah Beach Residence,25.082647,55.135003000000005,807,2329.62,1,2,2
1010,The Views,25.090953,55.16954200000001,1477,1083.28,2,2,2
1011,Downtown Dubai,25.191719,55.270677,1350,1703.7,2,2,2
1012,Business Bay,25.186023,55.291718,940,1194.68,1,1,1
1013,DIFC,25.212018,55.278772,4042,1410.19,4,5,2
1014,Motor City,25.046409,55.246264,1000,600.0,1,2,1
1015,Dubai Marina,25.085305,55.149287,1861,886.62,2,2,2
1016,Dubai Marina,25.080444,55.144318000000005,1225,893.88,2,2,3
1017,Jumeirah Lake Towers,25.065886,55.138245999999995,1389,683.95,1,2,1
1018,Greens,25.090455,55.174096,1305,858.24,2,2,2
1019,Greens,25.096545000000003,55.168783999999995,761,1708.28,1,1,2
1020,The Views,25.092075,55.16822,2233,1007.61,3,4,2
1021,DIFC,25.207533,55.277978,877,1368.3,1,2,2
1022,Dubai Hills Estate,25.109367,55.247980000000005,1361,991.92,2,2,1
1023,Dubai Sports City,25.037236,55.20598,822,748.18,1,2,2
1024,Downtown Dubai,25.191719,55.270677,1538,1235.37,2,3,2
1025,Palm Jumeirah,25.111433,55.136798,1338,1266.82,1,2,2
1026,Dubai Marina,25.088606,55.148208,761,657.03,1,2,1
1027,Dubai Marina,25.074307,55.132693999999994,895,1340.78,1,2,2
1028,Dubai Marina,25.06873,55.128758,1109,1487.83,2,3,2
1029,Downtown Dubai,25.194547,55.282429,1580,2405.0,2,2,1
1030,Downtown Dubai,25.193656,55.2727,2219,1013.97,2,3,1
1031,Downtown Dubai,25.19331,55.280919,850,1411.76,1,2,1
1032,Dubai Marina,25.086575,55.147768000000006,2352,1696.43,4,4,1
1033,Dubai Hills Estate,25.109367,55.247980000000005,1968,962.91,3,4,2
1034,Dubai Marina,25.081634,55.141261,936,1014.96,1,2,1
