,neighborhood,latitude,longitude,size_in_sqft,price_per_sqft,no_of_bedrooms,no_of_bathrooms,quality
301,Dubai Harbour,25.0967,55.139276,746,1837.65,1,2,2
302,Dubai Harbour,25.099793,55.141746,789,2183.63,1,2,2
303,Dubai Harbour,25.099744,55.14145500000001,1139,1711.93,2,3,2
304,Dubai Harbour,25.099793,55.141746,2097,1907.49,3,4,1
305,Dubai Harbour,25.09938,55.141275,745,2013.42,1,2,1
306,Dubai Harbour,25.099744,55.14145500000001,729,1577.5,1,2,2
307,Dubai Creek Harbour (The Lagoons),25.209767000000003,55.345907999999994,1501,1665.56,2,3,2
308,Dubai Creek Harbour (The Lagoons),25.203844,55.34419499999999,1143,1522.31,2,3,2
309,Business Bay,25.18868,55.267099,1400,3900.47,2,3,1
310,Dubai Hills Estate,25.111805,55.24734,996,1477.8,2,3,1
311,Dubai Hills Estate,25.111805,55.24734,998,1167.33,2,3,2
312,Dubai Marina,25.071448,55.131088,2352,807.82,2,3,2
313,Dubai Creek Harbour (The Lagoons),25.202807999999997,55.343101,1847,1960.96,3,4,1
314,Downtown Dubai,25.194031,55.269318000000005,998,1784.46,2,3,1
315,Downtown Dubai,25.194031,55.269318000000005,994,1791.64,2,3,1
316,Dubai Creek Harbour (The Lagoons),25.201227,55.34911,1393,1466.54,3,4,1
317,Jumeirah,25.240419,55.25277,1301,1314.37,2,3,1
318,Jumeirah,25.240419,55.25277,2932,2182.81,4,5,1
319,Jumeirah,25.240419,55.25277,817,1510.4,1,2,1
320,Jumeirah,25.240419,55.25277,1290,1346.51,2,3,1
321,Jumeirah,25.240419,55.25277,794,1837.53,1,2,1
322,Jumeirah,25.240419,55.25277,1216,1536.18,2,3,2
323,Umm Suqeim,25.137198,55.189006000000006,1348,1489.61,2,3,2
324,Business Bay,25.193359,55.264968,1323,1204.0,2,3,1
325,Business Bay,25.193359,55.264968,1300,1269.23,2,3,2
326,Palm Jumeirah,25.112193,55.138635,314,2069.71,0,1,2
327,Palm Jumeirah,25.112193,55.138635,353,2484.1,0,1,1
328,Dubai Marina,25.087147,55.14668100000001,975,1641.03,1,2,2
329,Dubai Harbour,25.0967,55.139276,1109,1578.0,2,3,1
330,Downtown Dubai,25.195483,55.271797,1120,1741.07,2,2,2
331,Downtown Dubai,25.202977,55.280662,1216,1274.67,2,3,2
332,Dubai Silicon Oasis,25.123141,55.398644,1650,515.15,2,3,2
333,Culture Village,25.225739,55.33868,1357,1105.38,2,3,3
334,Jumeirah Village Circle,25.04866,55.20955,851,773.09,1,2,2
335,Jumeirah,25.240419,55.25277,818,1671.15,1,1,1
336,Downtown Dubai,25.196489,55.272126,5383,3458.09,4,6,3
337,Mina Rashid,25.273623,55.283576,2070,725.07,2,2,2
338,Dubai Sports City,25.039514,55.217965,1071,485.53,2,3,1
339,Dubai Marina,25.073778,55.132888,2314,821.09,2,2,2
340,Palm Jumeirah,25.112725,55.109525,1750,1000.0,2,3,2
341,Al Barari,25.100921,55.313162,3845,1170.35,3,4,2
342,Dubai Marina,25.088431,55.146759,3180,943.4,4,4,3
343,Downtown Dubai,25.194282,55.271884,3049,4240.73,4,6,1
344,Dubai Hills Estate,25.114553,55.246280000000006,1606,1089.66,3,3,2
345,The Views,25.088533,55.171838,1380,996.38,2,3,2
346,Bluewaters,25.079276,55.12067,1488,2083.33,2,3,1
347,Downtown Dubai,25.195483,55.271797,1150,1469.57,2,2,3
348,Business Bay,25.192522,55.266317,989,808.8,1,1,2
349,Town Square,25.010599,55.281229,631,919.18,1,1,2
350,Old Town,25.188743,55.275682,1335,1273.41,2,3,1
351,Palm Jumeirah,25.111108,55.137591,1338,1269.81,1,2,2
352,Downtown Dubai,25.18984,55.281004,1299,1077.75,2,3,1
353,Dubai Marina,25.075974,55.135687,2204,1111.62,3,4,1
354,City Walk,25.208262,55.262829,1862,1234.69,2,3,2
355,Business Bay,25.183515,55.26667,513,1179.34,0,1,2
356,Dubai Silicon Oasis,25.112525,55.376107,885,676.84,1,2,2
357,Downtown Dubai,25.194282,55.271884,1720,2722.03,2,3,1
358,Jumeirah Beach Residence,25.078122,55.134763,1817,1375.89,2,3,2
359,Dubai Marina,25.072375,55.136286,1281,1405.15,2,3,2
360,Dubai Marina,25.086376,55.14736,1255,1505.98,2,3,1
361,Palm Jumeirah,25.112725,55.109525,1812,965.78,2,3,1
362,Downtown Dubai,25.202977,55.280662,730,1506.85,1,1,1
363,Dubai Hills Estate,25.109367,55.247980000000005,989,910.01,1,1,1
364,Green Community,25.007528,55.16360400000001,2554,507.05,3,2,1
365,Dubai Marina,25.081622,55.141977,1302,1259.6,2,3,2
366,Jumeirah,25.240419,55.25277,733,1637.11,1,2,1
367,Dubai Silicon Oasis,25.112525,55.376107,535,654.21,0,1,2
368,Dubai Marina,25.07907,55.139742000000005,1210,950.41,2,4,2
369,Jumeirah Village Circle,25.063841,55.210235,844,697.87,1,2,2
370,Dubai Marina,25.073778,55.132888,1366,1222.55,2,3,2
371,Motor City,25.045661,55.241586,2931,528.83,3,3,1
372,Downtown Dubai,25.201718,55.270982999999994,872,1892.2,1,2,1
373,Palm Jumeirah,25.125472,55.153066,1493,1774.95,2,2,1
374,Palm Jumeirah,25.114513,55.136122,2046,943.3,2,3,2
375,Jumeirah Village Circle,25.066252,55.20792900000001,385,955.84,0,1,2
376,Downtown Dubai,25.201204,55.270189,2285,2407.0,4,4,1
377,Downtown Dubai,25.198796,55.271342,1978,1971.69,3,4,1
378,Dubai Marina,25.069944,55.133324,1727,868.56,2,3,2
379,Downtown Dubai,25.195235,55.27875600000001,1104,1494.57,2,3,3
380,Jumeirah Village Circle,25.052714,55.199369,1607,715.62,3,4,1
381,Jumeirah,25.240419,55.25277,1023,1847.51,2,3,2
382,Downtown Dubai,25.196489,55.272126,5253,3007.81,4,5,2
383,Downtown Dubai,25.195237,55.271449,1317,2277.9,2,3,2
384,Downtown Dubai,25.195235,55.27875600000001,1908,2096.44,3,3,2
385,Dubai Marina,25.086575,55.147768000000006,875,1857.14,1,2,1
386,Downtown Dubai,25.187556,55.275166000000006,1293,1734.73,2,2,2
387,Jumeirah Lake Towers,25.074521,55.143825,1028,778.21,1,2,2
388,Downtown Dubai,25.202977,55.280662,1616,1639.85,3,4,2
389,Downtown Dubai,25.199782,55.277662,747,1658.63,1,1,2
390,Downtown Dubai,25.200879,55.276331000000006,1774,2311.16,2,3,1
391,Dubai Hills Estate,25.111798,55.247341000000006,1583,1643.01,3,3,2
392,Jumeirah,25.240419,55.25277,733,1637.11,1,1,1
393,Palm Jumeirah,25.104115,55.14847,1645,1914.89,2,2,3
394,Jumeirah Beach Residence,25.081954999999997,55.138863,1101,999.09,1,2,2
395,Jumeirah Beach Residence,25.072954,55.128089,1463,1708.13,2,3,2
396,Dubai Hills Estate,25.121564000000003,55.25912,730,1454.64,2,2,2
397,Town Square,24.999981,55.293818,930,1000.95,2,2,2
398,Town Square,24.998576,55.291872999999995,339,1338.9,0,1,2
399,Dubai Hills Estate,25.11576,55.248755,1607,1270.0,3,3,2
400,Dubai Marina,25.069266,55.129144999999994,829,1326.9,2,2,2
401,Mohammed Bin Rashid City,25.171460999999997,55.2758,742,1699.65,1,2,2
402,Dubai Marina,25.087251,55.145574,980,1193.88,1,2,2
403,Palm Jumeirah,25.106964,55.111349,1367,1828.09,2,5,1
404,Al Kifaf,25.233787,55.294217,998,1646.07,1,2,1
405,Dubai Hills Estate,25.107984,55.244923,1487,975.12,2,3,1
406,Mohammed Bin Rashid City,25.171460999999997,55.2758,760,1679.85,1,2,2
407,Al Kifaf,25.233787,55.294217,990,1565.66,1,2,2
408,Al Kifaf,25.233787,55.294217,1634,1252.62,2,3,2
409,City Walk,25.20179,55.261734,2270,1629.96,3,4,1
410,Palm Jumeirah,25.11309,55.140778000000005,2156,1298.7,3,4,1
411,Downtown Dubai,25.197316,55.274196,1778,1687.23,2,3,1
412,Dubai Marina,25.075017000000003,55.137997,1786,1483.76,3,4,1
413,Palm Jumeirah,25.131393,55.152727,1766,1981.88,2,3,2
414,DIFC,25.207533,55.277978,1133,1147.4,1,2,1
415,Jumeirah Beach Residence,25.076944,55.134135,1503,1962.74,2,3,1
416,Jumeirah Beach Residence,25.072954,55.128089,1028,1731.52,1,2,2
417,Meydan,25.15899,55.294028,826,817.19,1,1,1
418,DIFC,25.206412,55.275199,1274,1138.15,1,2,2
419,Downtown Dubai,25.191404,55.27389599999999,860,1174.42,1,2,2
420,Jumeirah Beach Residence,25.084102,55.13862099999999,2574,2233.88,3,5,2
421,DIFC,25.207533,55.277978,1133,1103.27,1,2,1
422,Downtown Dubai,25.197316,55.274196,2663,1746.11,3,4,2
423,Dubai Marina,25.079966,55.139081999999995,1210,1033.06,2,3,2
424,Downtown Dubai,25.191642,55.28019499999999,1039,1973.05,2,3,2
425,Town Square,25.015608,55.283131999999995,888,1000.0,2,2,2
426,Business Bay,25.188299,55.288975,4907,3454.25,3,3,2
427,Business Bay,25.188299,55.288975,7922,3906.84,4,4,2
428,Dubai Harbour,25.099744,55.14145500000001,735,1666.67,1,2,2
429,Downtown Dubai,25.194031,55.269318000000005,1352,1906.72,3,4,1
430,Palm Jumeirah,25.111902,55.138103,720,1424.84,1,2,2
431,Dubai Marina,25.082217,55.142624,529,1726.93,0,1,1
432,Downtown Dubai,25.191634,55.269309,1700,1323.53,2,3,2
433,DIFC,25.211032,55.28205,893,1427.77,1,1,2
434,DAMAC Hills,25.020958,55.254155,527,664.14,0,1,2
435,Dubai Creek Harbour (The Lagoons),25.204135,55.344345,707,1103.25,1,1,1
436,Downtown Dubai,25.196592000000003,55.284124,1049,1572.93,2,3,1
437,Jumeirah Village Circle,25.066791,55.203684,385,1102.18,0,1,2
438,Palm Jumeirah,25.125472,55.153066,1100,1636.36,1,2,2
439,Palm Jumeirah,25.115747,55.142615,2281,1391.93,3,4,2
440,Dubai Marina,25.086726,55.145205,1525,983.61,2,3,2
441,Palm Jumeirah,25.132519,55.151574,935,1978.61,1,2,2
442,Dubai Hills Estate,25.107984,55.244923,722,1371.19,1,1,2
443,Dubai Hills Estate,25.11576,55.248755,648,1157.41,1,1,2
444,Business Bay,25.181310999999997,55.26250699999999,1036,868.73,1,1,3
445,Jumeirah,25.240419,55.25277,1164,1460.48,2,3,2
446,Jumeirah,25.240419,55.25277,732,1736.34,1,2,2
447,Town Square,25.010196,55.291467,603,804.31,1,1,2
448,Palm Jumeirah,25.111822,55.140521,1300,865.38,1,1,1
449,Downtown Dubai,25.202977,55.280662,681,1468.43,1,2,1
450,Business Bay,25.18543,55.281516,563,1243.34,0,1,1
451,Business Bay,25.185156,55.281116,692,1047.69,0,1,1
452,Palm Jumeirah,25.10813,55.145552,1799,722.62,2,3,1
453,Al Barsha,25.07001,55.245729,730,1065.75,1,2,3
454,Dubai Marina,25.086575,55.147768000000006,1382,1519.54,2,3,1
455,Palm Jumeirah,25.10355,55.168509,6246,2867.44,4,5,2
456,Palm Jumeirah,25.10355,55.168509,4331,3569.61,3,4,2
457,Al Furjan,25.022618,55.14935,1000,700.0,2,3,2
458,Jumeirah Lake Towers,25.065355,55.139480000000006,500,900.0,0,1,1
459,Downtown Dubai,25.196593,55.269631,1282,994.54,2,3,2
460,Palm Jumeirah,25.10355,55.168509,3944,3927.48,3,4,2
461,Palm Jumeirah,25.10355,55.168509,3554,4454.14,3,4,2
462,Palm Jumeirah,25.10355,55.168509,3492,4556.13,4,5,2
463,Palm Jumeirah,25.10355,55.168509,6252,3517.27,4,5,2
464,Palm Jumeirah,25.10355,55.168509,5188,4215.5,4,5,2
465,Palm Jumeirah,25.10355,55.168509,5505,4112.62,4,5,2
466,Mohammed Bin Rashid City,25.171460999999997,55.2758,780,1597.83,1,2,3
467,Mohammed Bin Rashid City,25.171460999999997,55.2758,1109,1880.8,2,3,3
468,Mohammed Bin Rashid City,25.171460999999997,55.2758,780,1597.83,1,2,3
469,Dubai Hills Estate,25.109367,55.247980000000005,1358,1030.93,2,2,2
470,Palm Jumeirah,25.132021,55.151405,1350,2111.11,2,2,1
471,Palm Jumeirah,25.11241,55.14165799999999,1144,961.54,1,1,1
472,Palm Jumeirah,25.113366,55.13609,4053,937.58,3,3,1
473,Business Bay,25.189282,55.28915799999999,952,1155.46,1,2,2
474,Greens,25.091282999999997,55.174064,767,847.46,1,1,2
475,Palm Jumeirah,25.10355,55.168509,4595,3727.97,3,4,2
476,Palm Jumeirah,25.10355,55.168509,4923,4521.63,4,5,2
477,Business Bay,25.17667,55.272389,563,870.34,0,1,1
478,Dubai Hills Estate,25.107984,55.244923,1993,1404.92,3,4,2
479,Jumeirah Village Circle,25.047032,55.206605,1105,407.24,1,2,2
480,Town Square,25.005442,55.293914,1450,965.52,3,3,2
481,Jumeirah Lake Towers,25.065886,55.138245999999995,1992,853.41,2,2,2
482,Palm Jumeirah,25.111229,55.136449,2279,1316.37,3,4,2
483,Town Square,25.005559,55.294912,1850,608.59,3,4,1
484,Jumeirah Beach Residence,25.082397,55.14066,1396,823.78,2,3,2
485,Dubai Marina,25.087042,55.148385,1721,871.01,3,3,2
486,Al Sufouh,25.108984,55.177657,722,1371.19,1,2,2
487,Jumeirah Lake Towers,25.078262,55.14866899999999,1680,833.33,2,4,1
488,Town Square,25.005753,55.295312,546,1082.21,1,2,1
489,Dubai Hills Estate,25.099132,55.243981999999995,482,1555.78,1,2,2
490,Mohammed Bin Rashid City,25.177819,55.308533,493,1615.0,1,1,1
491,Meydan,25.145181,55.288017,835,838.32,1,2,2
492,Palm Jumeirah,25.107353,55.148401,1173,899.4,1,1,1
493,Town Square,25.01057,55.289787,1462,752.39,3,3,1
494,Downtown Dubai,25.195236,55.268641,2583,1393.73,3,4,2
495,Dubai Marina,25.08333,55.144753,1150,1369.57,2,3,1
496,Greens,25.096545000000003,55.168783999999995,1693,1181.33,2,3,1
497,Dubai Hills Estate,25.109367,55.247980000000005,1000,900.0,1,2,2
498,Dubai Marina,25.086575,55.147768000000006,1381,1520.64,2,3,2
499,Al Furjan,25.021571,55.155418999999995,442,950.23,0,1,2
500,Business Bay,25.178582,55.26624,685,1240.87,1,2,2
501,Downtown Dubai,25.195751,55.283223,2157,2271.67,3,4,2
502,Greens,25.0902,55.17514499999999,758,989.45,1,1,1
503,Palm Jumeirah,25.107353,55.148401,2223,854.7,3,4,2
504,Meydan,25.145181,55.288017,1534,912.65,2,3,1
505,Jumeirah,25.240419,55.25277,1200,1483.33,2,2,3
506,Palm Jumeirah,25.111902,55.138103,1131,1551.63,2,3,2
507,Downtown Dubai,25.19331,55.280919,1858,1264.8,2,3,1
508,Palm Jumeirah,25.11257,55.136701,2524,931.06,3,4,2
509,Dubai Marina,25.072696,55.13586,1005,1094.53,1,2,2
510,Old Town,25.19236,55.280033,781,1402.05,1,1,1
511,Town Square,25.010196,55.291467,697,753.23,1,1,2
512,Jumeirah,25.240419,55.25277,831,1552.35,1,2,1
513,Town Square,25.010196,55.291467,589,848.9,1,1,2
514,Dubai Marina,25.069944,55.133324,1500,660.0,2,3,2
515,Downtown Dubai,25.196398,55.271002,740,1385.14,1,2,2
516,Dubai Hills Estate,25.099132,55.243981999999995,486,1567.67,1,2,1
517,Downtown Dubai,25.196489,55.272126,5383,3458.09,4,5,1
518,Downtown Dubai,25.202977,55.280662,723,1977.87,1,2,1
519,The Views,25.088728,55.17331,1418,1093.09,2,2,1
520,Downtown Dubai,25.202977,55.280662,1236,2224.92,2,3,1
521,Downtown Dubai,25.196398,55.271002,713,1612.9,1,1,2
522,Palm Jumeirah,25.106668,55.149275,1184,971.28,1,1,1
523,Palm Jumeirah,25.108728,55.142382,2164,924.21,2,3,2
524,Dubai Hills Estate,25.109367,55.247980000000005,1362,947.14,2,3,2
525,Downtown Dubai,25.19168,55.280175,934,1820.13,2,3,1
526,Dubai Marina,25.089833,55.150625,2979,788.52,3,4,2
527,Business Bay,25.184873,55.292277,1165,1696.57,1,2,2
528,Downtown Dubai,25.191719,55.270677,1538,1235.37,2,3,2
529,Business Bay,25.186573000000003,55.282070999999995,477,1278.83,0,1,2
530,Palm Jumeirah,25.110165,55.137511,1890,1005.29,2,2,1
531,Palm Jumeirah,25.098745,55.121042,1101,999.09,1,2,2
532,Dubai Sports City,25.037035,55.20541600000001,460,932.61,0,2,1
533,The Views,25.093319,55.168887,1342,968.7,2,2,1
534,Dubai Marina,25.086575,55.147768000000006,868,1682.03,1,2,2
535,Palm Jumeirah,25.116492,55.141387,2260,1526.55,3,3,1
536,The Views,25.086886,55.173227,1660,1204.82,3,4,3
537,Dubai Marina,25.085305,55.149287,1860,887.1,1,2,2
538,Jumeirah,25.215192,55.235827,1934,3619.44,2,2,2
539,Jumeirah Lake Towers,25.068729,55.139815000000006,640,1281.25,1,1,1
540,Downtown Dubai,25.196398,55.271002,1740,876.44,2,2,1
541,Dubai Hills Estate,25.109367,55.247980000000005,1361,955.18,2,3,2
542,The Views,25.091259,55.168657,863,1100.81,1,1,1
543,Palm Jumeirah,25.132519,55.151574,1070,1728.97,1,2,2
544,Jumeirah,25.215192,55.235827,2093,3631.15,2,4,1
545,DIFC,25.207533,55.277978,968,1549.59,1,2,1
546,Palm Jumeirah,25.111681,55.142546,2055,900.24,2,4,2
547,DIFC,25.207533,55.277978,2087,1557.26,2,3,1
548,Jumeirah Village Circle,25.058632,55.202774,910,736.26,1,2,1
549,Dubai Marina,25.072396,55.132386,760,1118.42,2,2,2
550,Dubai Festival City,25.221028,55.361808,4071,798.33,3,4,2
551,Old Town,25.189195,55.274878,1313,1142.42,2,3,2
552,Palm Jumeirah,25.132519,55.151574,1040,1875.0,1,2,2
553,Jumeirah Beach Residence,25.072954,55.128089,1704,1349.77,2,3,2
554,Palm Jumeirah,25.110724,55.139576,2177,1148.37,3,3,1
555,Dubai Marina,25.085047,55.142415,1206,1160.86,2,3,2
556,Jumeirah Village Circle,25.049301,55.198896,1778,646.79,2,2,1
557,Dubai Marina,25.087251,55.145574,950,1368.42,1,2,2
558,Jumeirah Village Circle,25.048292,55.207037,680,801.47,1,2,3
559,Dubai Marina,25.082004,55.142441000000005,1302,1075.27,2,3,1
560,Dubai Marina,25.090418,55.14874,1748,1258.58,3,3,2
561,DIFC,25.211032,55.28205,938,1385.93,1,2,2
562,Dubai Marina,25.087926,55.149224,908,881.06,1,2,2
563,The Views,25.089719,55.170481,733,1159.62,1,1,2
564,Dubai Marina,25.086376,55.14736,772,1994.82,1,2,2
565,Jebel Ali,24.948068,55.069311,970,567.01,2,3,2
566,DIFC,25.211032,55.28205,2119,1226.99,3,4,1
567,Dubai Marina,25.089463,55.148929,915,765.03,1,2,2
568,Downtown Dubai,25.200159,55.28246800000001,855,1286.55,1,2,2
569,Jumeirah Lake Towers,25.077009,55.146035,929,753.5,1,2,2
570,Dubai Marina,25.087147,55.14668100000001,975,1948.72,1,2,2
571,Greens,25.09243,55.172975,1093,823.42,2,2,2
572,Dubai Creek Harbour (The Lagoons),25.20573,55.34511,2309,1277.61,3,5,2
573,Jumeirah Beach Residence,25.081954999999997,55.138863,1080,907.41,1,2,2
574,Jumeirah Village Circle,25.049301,55.198896,437,800.92,0,1,2
575,Palm Jumeirah,25.114513,55.136122,2439,1025.01,3,3,2
576,Palm Jumeirah,25.10355,55.168509,9576,3583.33,4,5,2
577,Downtown Dubai,25.201718,55.270982999999994,1851,1647.76,3,3,2
578,Downtown Dubai,25.203035,55.280662,1105,1493.21,2,2,2
579,The Views,25.088728,55.17331,748,1136.36,1,2,2
580,Al Barari,25.099422,55.31296700000001,3017,1110.37,2,3,1
581,Dubai Hills Estate,25.116799,55.254015,1602,1092.08,3,4,2
582,Downtown Dubai,25.190873999999997,55.281666,965,1139.9,1,2,1
583,Dubai Marina,25.081421,55.141711,1347,1447.66,2,3,2
584,Jumeirah Beach Residence,25.07851,55.136283,779,1046.21,1,2,2
585,The Views,25.088533,55.171838,754,1125.99,1,1,2
586,Palm Jumeirah,25.108522,55.143556,1465,1447.1,2,3,2
587,Downtown Dubai,25.192132,55.27216899999999,1400,1250.0,2,2,1
588,Dubai Hills Estate,25.113521,55.250356999999994,648,1247.31,1,1,2
589,Jumeirah Beach Residence,25.072954,55.128089,1703,1350.56,2,2,1
590,Jumeirah Lake Towers,25.07696,55.146775,2326,720.12,4,4,3
591,Jumeirah Lake Towers,25.07696,55.146775,1909,719.22,3,3,3
592,Jumeirah,25.240419,55.25277,1703,1162.65,2,3,1
593,Palm Jumeirah,25.110559,55.137575,1709,1287.3,2,3,2
594,Dubai Marina,25.082004,55.142441000000005,1347,1373.42,2,3,2
595,Jumeirah Beach Residence,25.08058,55.139146999999994,1903,788.23,3,3,3
596,Al Furjan,25.02462,55.140434,1191,885.89,2,3,2
597,Al Furjan,25.02462,55.140434,750,758.4,1,2,2
598,Dubai Hills Estate,25.107984,55.244923,2127,1245.89,3,5,2
599,Falcon City of Wonders,25.103784,55.339287,356,1516.85,0,1,2
600,Mohammed Bin Rashid City,25.177819,55.308533,747,1678.29,2,2,2
601,Palm Jumeirah,25.106964,55.111349,2005,2194.51,3,2,1
602,Downtown Dubai,25.191404,55.27389599999999,833,1200.48,1,2,2
603,DAMAC Hills,25.022371,55.25475600000001,635,866.14,0,1,1
604,Motor City,25.044960999999997,55.243607999999995,1053,641.03,1,2,1
605,Jumeirah Beach Residence,25.07851,55.136283,761,1379.76,1,2,2
606,Dubai Land,25.113747,55.367881999999994,929,409.04,1,2,2
607,DIFC,25.207533,55.277978,877,1396.81,1,2,1
608,Jumeirah Beach Residence,25.076319,55.133627,1929,891.65,3,4,2
609,Downtown Dubai,25.191544,55.273332999999994,1265,1343.87,2,2,1
610,Palm Jumeirah,25.09858,55.12171800000001,1116,1102.15,1,2,2
611,Al Furjan,25.022618,55.14935,928,796.34,2,2,2
612,World Trade Center,25.223728,55.285118,2938,953.03,3,3,2
613,Dubai Marina,25.087926,55.149224,1741,775.42,2,3,2
614,Jumeirah Lake Towers,25.065886,55.138245999999995,1184,717.91,1,2,1
615,Jumeirah Beach Residence,25.072954,55.128089,1610,1428.57,2,3,1
616,Downtown Dubai,25.195483,55.271797,666,2171.0,1,2,2
617,Mudon,25.01936,55.267193000000006,986,1304.26,2,2,2
618,Dubai Marina,25.082591,55.142183,922,1084.54,1,2,1
619,Discovery Gardens,25.03335,55.150016,548,583.94,0,1,1
620,Jumeirah Beach Residence,25.076319,55.133627,3003,615.72,3,3,2
621,Dubai Marina,25.072375,55.136286,848,1709.91,1,1,1
622,Motor City,25.046706,55.246714,1358,581.74,2,3,2
623,Dubai Silicon Oasis,25.11848,55.392352,943,530.22,2,2,2
624,Jumeirah Village Circle,25.060106,55.209391,871,952.93,1,2,2
625,Dubai Marina,25.084397,55.142039,1693,968.69,2,3,2
626,Remraam,25.007476,55.253035,1157,410.54,1,1,2
627,Dubai Marina,25.086575,55.147768000000006,1822,1756.31,3,5,1
628,Jumeirah Village Circle,25.054336,55.203423,782,893.86,1,2,2
629,Jumeirah Village Circle,25.048095,55.206373,746,817.69,1,2,2
633,Palm Jumeirah,25.111088,55.143412,1997,851.28,2,2,2
635,Jumeirah Beach Residence,25.073146,55.13154,1381,923.24,2,2,2
636,Palm Jumeirah,25.108523,55.143556999999994,737,1757.12,1,2,2
637,Dubai Marina,25.085305,55.149287,2756,1197.39,3,5,1
638,Downtown Dubai,25.191527,55.274545,1092,1190.48,1,2,1
641,Discovery Gardens,25.044519,55.137291000000005,968,542.36,1,1,1
642,Downtown Dubai,25.197316,55.274196,1888,1848.46,2,3,2
643,Dubai Marina,25.082591,55.142183,709,1071.93,1,1,2
644,Dubai Marina,25.089393,55.147796,736,951.09,1,2,2
645,Palm Jumeirah,25.116329,55.138654,1746,959.34,2,2,2
646,Dubai Marina,25.089463,55.148929,916,682.31,1,2,2
647,Palm Jumeirah,25.113366,55.13609,1954,711.36,2,3,2
648,Palm Jumeirah,25.107004999999997,55.152689,1142,1488.62,1,1,1
649,Downtown Dubai,25.200926000000003,55.280912,886,1580.14,1,1,2
650,Dubai Marina,25.089393,55.147796,3172,1134.93,4,5,2
651,Jumeirah,25.240419,55.25277,758,1891.82,1,2,1
652,Dubai Harbour,25.0967,55.139276,745,1610.74,1,2,1
653,Jumeirah,25.240419,55.25277,1220,1471.31,2,3,2
654,Downtown Dubai,25.195483,55.271797,1064,2297.83,2,3,2
655,Jumeirah Beach Residence,25.076944,55.134135,1198,2212.02,2,3,1
656,Jumeirah Beach Residence,25.082647,55.135003000000005,1968,1905.49,3,5,1
657,Jumeirah Beach Residence,25.082647,55.135003000000005,1180,2033.9,2,3,1
658,Dubai Marina,25.082004,55.142441000000005,1302,1305.68,2,3,1
659,Dubai Marina,25.088431,55.146759,1188,1304.71,2,3,2
660,Downtown Dubai,25.191404,55.27389599999999,1420,1250.0,2,2,2
661,Dubai Marina,25.084335999999997,55.14925,2552,960.03,3,5,2
662,Jumeirah,25.215192,55.235827,3142,3819.22,3,5,2
663,Palm Jumeirah,25.112237,55.138630000000006,360,1735.8,0,1,2
664,Dubai Marina,25.080444,55.144318000000005,691,810.42,1,2,2
665,Palm Jumeirah,25.112237,55.138630000000006,713,1392.55,1,2,2
666,Jumeirah,25.240419,55.25277,754,1636.6,1,2,1
667,Dubai Creek Harbour (The Lagoons),25.203553,55.34555400000001,1089,1193.76,2,3,2
668,Mudon,25.023506,55.265094,965,1191.71,2,3,1
669,The Views,25.088728,55.17331,1450,965.52,2,2,3
670,The Views,25.089719,55.170481,1305,1295.02,2,3,2
671,Jumeirah Village Circle,25.053988,55.207168,1620,648.15,1,1,2
672,The Views,25.093596,55.166633999999995,1665,900.9,3,2,2
673,Mirdif,25.227337,55.441623,2704,1069.53,4,5,2
674,Mirdif,25.227337,55.441623,1581,1067.68,3,4,2
675,Mirdif,25.227337,55.441623,1321,1059.05,2,3,2
676,Downtown Dubai,25.194761,55.282343,1362,2753.3,2,3,2
677,Dubai Marina,25.086376,55.14736,755,2086.03,1,2,2
678,Jumeirah Village Circle,25.054336,55.203423,375,1098.67,0,1,3
679,Jumeirah Village Circle,25.054336,55.203423,1249,799.84,2,3,3
680,Palm Jumeirah,25.112604,55.143347,1550,1577.42,2,3,2
681,Jumeirah,25.240419,55.25277,1200,1416.67,2,3,1
682,Downtown Dubai,25.195483,55.271797,1636,2625.24,3,4,2
683,Dubai Marina,25.085305,55.149287,1694,1756.2,2,2,3
684,Palm Jumeirah,25.111943,55.144174,1994,1303.91,2,4,1
685,Palm Jumeirah,25.126034,55.15370600000001,1100,1318.18,1,2,2
686,Jumeirah Village Circle,25.046403,55.201813,1215,1152.43,2,3,3
687,The Views,25.087547,55.172518999999994,2825,1168.12,3,3,3
688,Palm Jumeirah,25.113366,55.13609,1953,714.29,2,2,1
689,Dubai Harbour,25.09938,55.141275,745,1853.54,1,1,2
690,Palm Jumeirah,25.107086,55.14684499999999,1886,676.03,2,2,1
691,Downtown Dubai,25.19331,55.280919,917,1417.67,1,2,2
693,Dubai Creek Harbour (The Lagoons),25.206345,55.345142,1932,1552.8,3,4,2
694,Dubai Marina,25.086376,55.14736,838,1778.04,1,2,2
696,Palm Jumeirah,25.111943,55.144174,2182,1031.16,3,3,2
697,Jumeirah Beach Residence,25.080162,55.13786999999999,1850,729.73,3,4,2
698,Dubai Marina,25.086376,55.14736,775,2032.26,1,2,1
711,Dubai Harbour,25.09938,55.141275,1968,2145.78,3,4,1
712,Jumeirah,25.240419,55.25277,1213,1431.99,2,3,2
713,Jumeirah Beach Residence,25.07715,55.135515000000005,1295,926.64,2,3,1
714,Dubai Marina,25.089393,55.147796,1329,1091.05,2,3,2
715,Dubai Creek Harbour (The Lagoons),25.2065,55.34505600000001,1931,1760.75,3,4,1
716,Jumeirah Lake Towers,25.069779,55.14416800000001,675,777.78,1,1,2
